"Year","FishName","OtoWidth","Ages","Site","FSLann","FSLsumm","FSLaut","FSLwin","FSLspr","TannS","TsummS","TautS","TwinS","TsprS","TannW","TsummW","TautW","TwinW","TsprW"
2002,"X050113",15.99266667,31,"South",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X040018",29.63266667,32,"South",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X060119",18.408,32,"West",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X060228",13.64533333,40,"West",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X060266",16.80566667,38,"West",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X050099",10.46366667,56,"South",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X040036",15.655,41,"South",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2003,"X040018",22.57366667,33,"South",0.741416666666667,0.678333333333333,0.834333333333333,0.794,0.659,19.1091666666667,20.1533333333333,20.8,18.1066666666667,17.3766666666667,20.2441666666667,21.14,21.91,19.5166666666667,18.41
2003,"X050088",16.07733333,35,"South",0.741416666666667,0.678333333333333,0.834333333333333,0.794,0.659,19.1091666666667,20.1533333333333,20.8,18.1066666666667,17.3766666666667,20.2441666666667,21.14,21.91,19.5166666666667,18.41
2003,"X060251",14.7085,53,"West",0.741416666666667,0.678333333333333,0.834333333333333,0.794,0.659,19.1091666666667,20.1533333333333,20.8,18.1066666666667,17.3766666666667,20.2441666666667,21.14,21.91,19.5166666666667,18.41
2003,"X060141",13.499,44,"West",0.741416666666667,0.678333333333333,0.834333333333333,0.794,0.659,19.1091666666667,20.1533333333333,20.8,18.1066666666667,17.3766666666667,20.2441666666667,21.14,21.91,19.5166666666667,18.41
2003,"X060093",16.2655,37,"West",0.741416666666667,0.678333333333333,0.834333333333333,0.794,0.659,19.1091666666667,20.1533333333333,20.8,18.1066666666667,17.3766666666667,20.2441666666667,21.14,21.91,19.5166666666667,18.41
2003,"X050247",18.014,41,"West",0.741416666666667,0.678333333333333,0.834333333333333,0.794,0.659,19.1091666666667,20.1533333333333,20.8,18.1066666666667,17.3766666666667,20.2441666666667,21.14,21.91,19.5166666666667,18.41
2003,"X040055",15.39633333,56,"South",0.741416666666667,0.678333333333333,0.834333333333333,0.794,0.659,19.1091666666667,20.1533333333333,20.8,18.1066666666667,17.3766666666667,20.2441666666667,21.14,21.91,19.5166666666667,18.41
